"Instruction","","Lat","TP","Uops","Ports"
"XLAT","BASE","[5;6]","2.00","3",""
"XOR (AL, 0)","BASE","1","0.33","1",""
"XOR (AL, I8)","BASE","1","0.33","1",""
"XOR (AX, I16)","BASE","1","0.33","1",""
"XOR (EAX, I32)","BASE","1","0.33","1",""
"XOR (M16, 0)","BASE","[5;≤11]","0.52","2",""
"XOR (M16, I16)","BASE","[5;≤11]","0.52","2",""
"XOR (M16, I8)","BASE","[5;≤11]","0.52","2",""
"XOR (M16, R16)","BASE","[1;≤11]","0.53","2",""
"XOR (M32, 0)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M32, I32)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M32, I8)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M32, R32)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M64, 0)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M64, I32)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M64, I8)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M64, R64)","BASE","[≤1;≤8]","0.56","2",""
"XOR (M8, 0)","BASE","[5;≤11]","0.52","2",""
"XOR (M8, I8)","BASE","[5;≤11]","0.52","2",""
"XOR (M8, R8h)","BASE","[1;≤11]","0.50","2",""
"XOR (M8, R8l)","BASE","[1;≤11]","0.56","2",""
"XOR (R16, 0)","BASE","1","0.25","1",""
"XOR (R16, I16)","BASE","1","0.25","1",""
"XOR (R16, I8)","BASE","1","0.25","1",""
"XOR (R16, M16)","BASE","[1;≤6]","0.33","1",""
"XOR (R32, 0)","BASE","1","0.25","1",""
"XOR (R32, I32)","BASE","1","0.25","1",""
"XOR (R32, I8)","BASE","1","0.25","1",""
"XOR (R32, M32)","BASE","[1;≤7]","0.33","1",""
"XOR (R64, 0)","BASE","1","0.25","1",""
"XOR (R64, I32)","BASE","1","0.25","1",""
"XOR (R64, I8)","BASE","1","0.25","1",""
"XOR (R64, M64)","BASE","[1;≤7]","0.33","1",""
"XOR (R8h, 0)","BASE","1","0.25","1",""
"XOR (R8h, I8)","BASE","1","0.25","1",""
"XOR (R8h, M8)","BASE","[1;≤6]","0.33","1",""
"XOR (R8l, M8)","BASE","[1;≤6]","0.33","1",""
"XOR (RAX, I32)","BASE","1","0.33","1",""
"XOR_30 (R8h, R8h)","BASE","1","0.33","1",""
"XOR_30 (R8h, R8l)","BASE","1","0.33","1",""
"XOR_30 (R8l, R8h)","BASE","1","0.33","1",""
"XOR_30 (R8l, R8l)","BASE","1","0.25","1",""
"XOR_31 (R16, R16)","BASE","1","0.25","1",""
"XOR_31 (R32, R32)","BASE","[0;1]","0.25","1",""
"XOR_31 (R64, R64)","BASE","[0;1]","0.25","1",""
"XOR_32 (R8h, R8h)","BASE","1","0.33","1",""
"XOR_32 (R8h, R8l)","BASE","1","0.33","1",""
"XOR_32 (R8l, R8h)","BASE","1","0.33","1",""
"XOR_32 (R8l, R8l)","BASE","1","0.25","1",""
"XOR_33 (R16, R16)","BASE","1","0.25","1",""
"XOR_33 (R32, R32)","BASE","[0;1]","0.25","1",""
"XOR_33 (R64, R64)","BASE","[0;1]","0.25","1",""
"XOR_LOCK (M16, 0)","BASE","[5;≤11]","7.40","2",""
"XOR_LOCK (M16, I16)","BASE","[5;≤11]","7.40","2",""
"XOR_LOCK (M16, I8)","BASE","[5;≤11]","7.40","2",""
"XOR_LOCK (M16, R16)","BASE","[1;≤11]","7.38","2",""
"XOR_LOCK (M32, 0)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M32, I32)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M32, I8)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M32, R32)","BASE","[1;≤11]","7.33","2",""
"XOR_LOCK (M64, 0)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M64, I32)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M64, I8)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M64, R64)","BASE","[1;≤11]","7.40","2",""
"XOR_LOCK (M8, 0)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M8, I8)","BASE","[5;≤11]","7.38","2",""
"XOR_LOCK (M8, R8h)","BASE","[1;≤11]","7.33","2",""
"XOR_LOCK (M8, R8l)","BASE","[1;≤11]","7.40","2",""
"XOR_R0 (R8l, 0)","BASE","1","0.25","1",""
"XOR_R0 (R8l, I8)","BASE","1","0.25","1",""
"XOR_R4 (R8l, 0)","BASE","1","0.25","1",""
"XOR_R4 (R8l, I8)","BASE","1","0.25","1",""
